pincode,age_0_5,age_5_17,age_18_greater,new_date,state_clean,district_clean,month
734008,10,23,12,2025-06-01,West Bengal,Darjeeling,6
743127,78,59,10,2025-06-01,West Bengal,,6
734101,28,11,12,2025-06-01,West Bengal,Darjeeling,6
700004,23,19,34,2025-06-01,West Bengal,Kolkata,6
735211,89,125,10,2025-06-01,West Bengal,Alipurduar,6
735202,15,78,18,2025-06-01,West Bengal,Jalpaiguri,6
700039,78,117,10,2025-06-01,West Bengal,Kolkata,6
743423,139,73,15,2025-06-01,West Bengal,,6
736202,82,100,18,2025-07-01,West Bengal,Alipurduar,7
734010,92,91,25,2025-07-01,West Bengal,Darjeeling,7
741253,77,14,11,2025-07-01,West Bengal,Nadia,7
743263,113,80,34,2025-07-01,West Bengal,,7
736146,204,303,12,2025-07-01,West Bengal,,7
700049,55,67,12,2025-07-01,West Bengal,,7
700056,34,53,11,2025-07-01,West Bengal,,7
743127,91,83,14,2025-07-01,West Bengal,,7
741402,68,23,13,2025-07-01,West Bengal,Nadia,7
741201,124,48,11,2025-07-01,West Bengal,Nadia,7
712149,177,111,12,2025-07-01,West Bengal,Hooghly,7
733207,1102,1207,45,2025-07-01,West Bengal,,7
736182,36,64,48,2025-07-01,West Bengal,Alipurduar,7
743347,364,104,22,2025-07-01,West Bengal,,7
735208,13,16,10,2025-07-01,West Bengal,Alipurduar,7
735206,10,49,10,2025-07-01,West Bengal,Jalpaiguri,7
734013,43,23,21,2025-07-01,West Bengal,Darjeeling,7
743249,76,62,17,2025-07-01,West Bengal,,7
735202,59,119,21,2025-07-01,West Bengal,Jalpaiguri,7
734427,42,84,11,2025-07-01,West Bengal,Darjeeling,7
735135,149,128,23,2025-07-01,West Bengal,Jalpaiguri,7
741501,111,43,26,2025-07-01,West Bengal,Nadia,7
700124,71,49,15,2025-07-01,West Bengal,,7
743235,103,65,18,2025-07-01,West Bengal,,7
741222,107,122,15,2025-07-01,West Bengal,Nadia,7
743287,30,27,29,2025-07-01,West Bengal,,7
734008,20,32,12,2025-07-01,West Bengal,Darjeeling,7
711101,149,200,12,2025-07-01,West Bengal,Howrah,7
734301,78,77,34,2025-07-01,West Bengal,Kalimpong,7
736165,174,84,32,2025-07-01,West Bengal,,7
700119,116,132,13,2025-07-01,West Bengal,,7
734105,13,20,16,2025-07-01,West Bengal,Darjeeling,7
743271,36,15,10,2025-07-01,West Bengal,,7
734003,118,135,33,2025-07-01,West Bengal,Darjeeling,7
743262,65,29,17,2025-07-01,West Bengal,,7
743145,77,78,14,2025-07-01,West Bengal,,7
700007,34,60,10,2025-07-01,West Bengal,Kolkata,7
736206,89,80,10,2025-07-01,West Bengal,Alipurduar,7
734101,57,41,18,2025-07-01,West Bengal,Darjeeling,7
736135,722,623,45,2025-07-01,West Bengal,,7
736207,75,82,12,2025-07-01,West Bengal,Alipurduar,7
700110,61,74,10,2025-07-01,West Bengal,,7
736131,126,72,11,2025-07-01,West Bengal,,7
700016,64,93,15,2025-07-01,West Bengal,Kolkata,7
733210,1734,979,14,2025-07-01,West Bengal,,7
733124,404,154,16,2025-07-01,West Bengal,,7
743248,84,68,14,2025-07-01,West Bengal,,7
741126,295,80,15,2025-07-01,West Bengal,Nadia,7
733129,202,166,69,2025-07-01,West Bengal,,7
700004,23,24,52,2025-07-01,West Bengal,Kolkata,7
733134,573,206,21,2025-07-01,West Bengal,,7
735210,150,289,12,2025-07-01,West Bengal,,7
734429,117,133,13,2025-07-01,West Bengal,Darjeeling,7
741223,82,60,28,2025-07-01,West Bengal,Nadia,7
733125,303,102,18,2025-07-01,West Bengal,,7
741404,259,72,10,2025-07-01,West Bengal,Nadia,7
733201,786,350,16,2025-07-01,West Bengal,,7
731204,157,77,24,2025-07-01,West Bengal,Birbhum,7
700006,54,73,22,2025-07-01,West Bengal,Kolkata,7
700023,102,157,32,2025-07-01,West Bengal,Kolkata,7
700121,80,64,14,2025-07-01,West Bengal,,7
743251,119,44,15,2025-07-01,West Bengal,,7
700162,10,15,12,2025-07-01,West Bengal,,7
734014,85,77,20,2025-07-01,West Bengal,Darjeeling,7
736204,123,186,12,2025-07-01,West Bengal,Alipurduar,7
700125,201,90,28,2025-07-01,West Bengal,,7
735204,32,149,18,2025-07-01,West Bengal,Alipurduar,7
736121,196,163,17,2025-07-01,West Bengal,Alipurduar,7
743423,356,131,45,2025-07-01,West Bengal,,7
736145,243,192,16,2025-07-01,West Bengal,,7
700129,26,32,18,2025-07-01,West Bengal,,7
700102,76,67,14,2025-07-01,West Bengal,,7
736167,335,366,10,2025-07-01,West Bengal,,7
733202,760,680,24,2025-07-01,West Bengal,,7
721301,280,233,10,2025-07-01,West Bengal,,7
735225,16,48,11,2025-07-01,West Bengal,Jalpaiguri,7
735224,120,100,14,2025-07-01,West Bengal,,7
731234,418,82,11,2025-07-01,West Bengal,Birbhum,7
743329,718,688,12,2025-07-01,West Bengal,,7
741502,157,74,32,2025-07-01,West Bengal,Nadia,7
734201,20,58,15,2025-07-01,West Bengal,Darjeeling,7
743245,39,46,15,2025-07-01,West Bengal,,7
741313,32,20,26,2025-07-01,West Bengal,Nadia,7
735211,1,1,0,2025-09-01,West Bengal,Alipurduar,9
736206,3,0,1,2025-09-01,West Bengal,Alipurduar,9
722136,2,1,0,2025-09-01,West Bengal,Bankura,9
722138,15,2,0,2025-09-01,West Bengal,Bankura,9
722139,1,1,0,2025-09-01,West Bengal,Bankura,9
722145,2,0,0,2025-09-01,West Bengal,Bankura,9
722147,0,1,0,2025-09-01,West Bengal,Bankura,9
722154,2,0,0,2025-09-01,West Bengal,Bankura,9
722156,9,0,0,2025-09-01,West Bengal,Bankura,9
722157,1,1,0,2025-09-01,West Bengal,Bankura,9
722201,1,0,0,2025-09-01,West Bengal,Bankura,9
713130,6,0,0,2025-09-01,West Bengal,,9
713144,2,1,0,2025-09-01,West Bengal,,9
713148,6,2,0,2025-09-01,West Bengal,,9
713153,1,0,0,2025-09-01,West Bengal,,9
713160,0,1,0,2025-09-01,West Bengal,,9
713166,4,0,0,2025-09-01,West Bengal,,9
713211,1,0,0,2025-09-01,West Bengal,,9
713322,1,0,0,2025-09-01,West Bengal,,9
713325,5,0,0,2025-09-01,West Bengal,,9
713334,2,0,0,2025-09-01,West Bengal,,9
713341,1,1,0,2025-09-01,West Bengal,,9
713343,1,0,0,2025-09-01,West Bengal,,9
713359,1,2,0,2025-09-01,West Bengal,,9
713372,1,0,0,2025-09-01,West Bengal,,9
713381,1,0,0,2025-09-01,West Bengal,,9
713384,1,0,0,2025-09-01,West Bengal,,9
713421,1,2,0,2025-09-01,West Bengal,,9
713519,2,0,0,2025-09-01,West Bengal,,9
731301,2,0,0,2025-09-01,West Bengal,,9
713128,1,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
713130,2,1,0,2025-09-01,West Bengal,Purba Bardhaman,9
713205,0,2,0,2025-09-01,West Bengal,Purba Bardhaman,9
713321,1,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
713430,0,1,0,2025-09-01,West Bengal,Purba Bardhaman,9
731123,19,1,0,2025-09-01,West Bengal,Birbhum,9
731124,8,1,0,2025-09-01,West Bengal,Birbhum,9
731215,1,0,0,2025-09-01,West Bengal,Birbhum,9
731216,5,0,0,2025-09-01,West Bengal,Birbhum,9
731219,10,0,0,2025-09-01,West Bengal,Birbhum,9
731220,2,0,0,2025-09-01,West Bengal,Birbhum,9
731224,0,4,0,2025-09-01,West Bengal,Birbhum,9
731235,3,2,0,2025-09-01,West Bengal,Birbhum,9
731236,4,2,0,2025-09-01,West Bengal,Birbhum,9
731245,2,0,0,2025-09-01,West Bengal,Birbhum,9
731302,1,1,0,2025-09-01,West Bengal,Birbhum,9
736101,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
736132,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
736146,6,0,0,2025-09-01,West Bengal,Cooch Behar,9
736172,2,6,0,2025-09-01,West Bengal,Cooch Behar,9
736176,3,1,0,2025-09-01,West Bengal,Cooch Behar,9
736179,0,2,0,2025-09-01,West Bengal,Cooch Behar,9
736180,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
733124,8,2,0,2025-09-01,West Bengal,Dakshin Dinajpur,9
733133,3,0,0,2025-09-01,West Bengal,Dakshin Dinajpur,9
733142,4,0,1,2025-09-01,West Bengal,Dakshin Dinajpur,9
734008,0,1,0,2025-09-01,West Bengal,Darjeeling,9
734311,2,0,0,2025-09-01,West Bengal,Darjeeling,9
734312,1,0,0,2025-09-01,West Bengal,Darjeeling,9
734301,0,1,0,2025-09-01,West Bengal,Darjeeling,9
721401,3,0,0,2025-09-01,West Bengal,,9
721428,1,0,0,2025-09-01,West Bengal,,9
721429,1,0,0,2025-09-01,West Bengal,,9
721448,6,0,0,2025-09-01,West Bengal,,9
711101,2,1,0,2025-09-01,West Bengal,Howrah,9
711102,2,0,0,2025-09-01,West Bengal,Howrah,9
711107,1,0,0,2025-09-01,West Bengal,Howrah,9
711202,1,0,0,2025-09-01,West Bengal,Howrah,9
711313,1,1,0,2025-09-01,West Bengal,Howrah,9
711322,2,3,0,2025-09-01,West Bengal,Howrah,9
711404,2,0,0,2025-09-01,West Bengal,Howrah,9
711409,0,1,0,2025-09-01,West Bengal,Howrah,9
712104,2,1,0,2025-09-01,West Bengal,Hooghly,9
712121,1,0,0,2025-09-01,West Bengal,Hooghly,9
712125,0,1,0,2025-09-01,West Bengal,Hooghly,9
712134,1,1,0,2025-09-01,West Bengal,Hooghly,9
712138,1,0,0,2025-09-01,West Bengal,Hooghly,9
712147,2,2,0,2025-09-01,West Bengal,Hooghly,9
712148,3,1,0,2025-09-01,West Bengal,Hooghly,9
712222,3,2,1,2025-09-01,West Bengal,Hooghly,9
712248,2,1,0,2025-09-01,West Bengal,Hooghly,9
712303,1,0,0,2025-09-01,West Bengal,Hooghly,9
712305,6,2,0,2025-09-01,West Bengal,Hooghly,9
712401,9,1,0,2025-09-01,West Bengal,Hooghly,9
712407,1,3,0,2025-09-01,West Bengal,Hooghly,9
712410,9,2,0,2025-09-01,West Bengal,Hooghly,9
712417,1,1,0,2025-09-01,West Bengal,Hooghly,9
712429,1,1,0,2025-09-01,West Bengal,Hooghly,9
712503,3,0,0,2025-09-01,West Bengal,Hooghly,9
712512,2,0,0,2025-09-01,West Bengal,Hooghly,9
712515,0,1,0,2025-09-01,West Bengal,Hooghly,9
712602,5,0,0,2025-09-01,West Bengal,Hooghly,9
712617,2,0,0,2025-09-01,West Bengal,Hooghly,9
711203,0,2,0,2025-09-01,West Bengal,Howrah,9
711315,1,3,0,2025-09-01,West Bengal,Howrah,9
711403,0,1,0,2025-09-01,West Bengal,Howrah,9
711414,1,2,0,2025-09-01,West Bengal,Howrah,9
735101,2,2,0,2025-09-01,West Bengal,Jalpaiguri,9
735132,2,1,0,2025-09-01,West Bengal,Jalpaiguri,9
735134,3,1,0,2025-09-01,West Bengal,Jalpaiguri,9
735213,4,1,0,2025-09-01,West Bengal,Jalpaiguri,9
735214,3,2,0,2025-09-01,West Bengal,Jalpaiguri,9
735225,0,2,0,2025-09-01,West Bengal,Jalpaiguri,9
736202,2,1,0,2025-09-01,West Bengal,Jalpaiguri,9
736204,4,0,0,2025-09-01,West Bengal,Jalpaiguri,9
736208,2,1,0,2025-09-01,West Bengal,Jalpaiguri,9
721506,2,0,0,2025-09-01,West Bengal,Jhargram,9
721507,1,0,1,2025-09-01,West Bengal,Jhargram,9
721517,2,0,0,2025-09-01,West Bengal,Jhargram,9
736134,2,1,0,2025-09-01,West Bengal,Cooch Behar,9
736135,4,4,0,2025-09-01,West Bengal,Cooch Behar,9
736158,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
736170,1,1,0,2025-09-01,West Bengal,Cooch Behar,9
736173,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
700007,2,0,0,2025-09-01,West Bengal,Kolkata,9
700014,5,5,0,2025-09-01,West Bengal,Kolkata,9
700027,2,0,0,2025-09-01,West Bengal,Kolkata,9
700031,2,0,0,2025-09-01,West Bengal,Kolkata,9
700038,1,1,0,2025-09-01,West Bengal,Kolkata,9
700087,1,0,0,2025-09-01,West Bengal,Kolkata,9
700088,1,0,0,2025-09-01,West Bengal,Kolkata,9
732124,8,6,0,2025-09-01,West Bengal,Malda,9
732127,1,1,0,2025-09-01,West Bengal,Malda,9
732201,8,3,0,2025-09-01,West Bengal,Malda,9
732203,10,1,0,2025-09-01,West Bengal,Malda,9
732205,7,1,0,2025-09-01,West Bengal,Malda,9
732209,2,0,0,2025-09-01,West Bengal,Malda,9
732211,1,0,0,2025-09-01,West Bengal,Malda,9
732216,0,1,0,2025-09-01,West Bengal,Malda,9
732127,1,0,0,2025-09-01,West Bengal,,9
732207,1,0,0,2025-09-01,West Bengal,,9
732210,0,3,0,2025-09-01,West Bengal,,9
742101,4,1,0,2025-09-01,West Bengal,Murshidabad,9
742157,11,2,0,2025-09-01,West Bengal,Murshidabad,9
742165,13,3,0,2025-09-01,West Bengal,Murshidabad,9
742171,7,0,0,2025-09-01,West Bengal,Murshidabad,9
742224,8,0,0,2025-09-01,West Bengal,Murshidabad,9
742226,11,3,0,2025-09-01,West Bengal,Murshidabad,9
742405,4,0,0,2025-09-01,West Bengal,Murshidabad,9
741103,6,0,1,2025-09-01,West Bengal,Nadia,9
741150,0,1,0,2025-09-01,West Bengal,Nadia,9
741162,1,0,0,2025-09-01,West Bengal,Nadia,9
741164,1,0,0,2025-09-01,West Bengal,Nadia,9
741223,6,4,0,2025-09-01,West Bengal,Nadia,9
741238,5,0,2,2025-09-01,West Bengal,Nadia,9
741245,2,4,1,2025-09-01,West Bengal,Nadia,9
741250,3,1,0,2025-09-01,West Bengal,Nadia,9
741402,2,0,0,2025-09-01,West Bengal,Nadia,9
741509,0,1,0,2025-09-01,West Bengal,Nadia,9
700036,2,2,0,2025-09-01,West Bengal,,9
700056,1,0,0,2025-09-01,West Bengal,,9
700058,3,0,0,2025-09-01,West Bengal,,9
700083,0,2,0,2025-09-01,West Bengal,,9
700101,1,0,0,2025-09-01,West Bengal,,9
700157,2,1,0,2025-09-01,West Bengal,,9
700159,1,1,1,2025-09-01,West Bengal,,9
743133,1,0,1,2025-09-01,West Bengal,,9
743134,0,1,0,2025-09-01,West Bengal,,9
743271,2,0,0,2025-09-01,West Bengal,,9
743297,1,2,0,2025-09-01,West Bengal,,9
743423,33,6,1,2025-09-01,West Bengal,,9
743425,17,7,0,2025-09-01,West Bengal,,9
743428,1,0,0,2025-09-01,West Bengal,,9
700125,1,0,0,2025-09-01,West Bengal,North 24 Parganas,9
700126,2,0,0,2025-09-01,West Bengal,North 24 Parganas,9
743221,2,0,0,2025-09-01,West Bengal,North 24 Parganas,9
713206,1,0,0,2025-09-01,West Bengal,Paschim Bardhaman,9
713304,1,0,1,2025-09-01,West Bengal,Paschim Bardhaman,9
713334,1,0,1,2025-09-01,West Bengal,Paschim Bardhaman,9
713403,1,0,0,2025-09-01,West Bengal,Paschim Bardhaman,9
721135,1,0,0,2025-09-01,West Bengal,Paschim Medinipur,9
721260,2,2,0,2025-09-01,West Bengal,Paschim Medinipur,9
721301,11,4,0,2025-09-01,West Bengal,Paschim Medinipur,9
721306,0,1,0,2025-09-01,West Bengal,Paschim Medinipur,9
721445,2,1,0,2025-09-01,West Bengal,Paschim Medinipur,9
721467,5,2,0,2025-09-01,West Bengal,Paschim Medinipur,9
721507,2,1,0,2025-09-01,West Bengal,Paschim Medinipur,9
721516,7,1,0,2025-09-01,West Bengal,Paschim Medinipur,9
713130,3,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
713422,1,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
713426,1,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
721137,7,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721151,6,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721449,2,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721625,1,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721626,1,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721627,3,1,0,2025-09-01,West Bengal,Purba Medinipur,9
721628,12,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721642,2,2,0,2025-09-01,West Bengal,Purba Medinipur,9
721645,1,1,0,2025-09-01,West Bengal,Purba Medinipur,9
721651,0,1,0,2025-09-01,West Bengal,Purba Medinipur,9
721653,1,2,0,2025-09-01,West Bengal,Purba Medinipur,9
721656,3,0,0,2025-09-01,West Bengal,Purba Medinipur,9
721659,2,0,0,2025-09-01,West Bengal,Purba Medinipur,9
723126,4,0,0,2025-09-01,West Bengal,Purulia,9
723212,2,1,0,2025-09-01,West Bengal,Purulia,9
723213,1,0,0,2025-09-01,West Bengal,Purulia,9
723101,12,3,0,2025-09-01,West Bengal,,9
723103,11,3,0,2025-09-01,West Bengal,,9
723131,4,5,0,2025-09-01,West Bengal,,9
723145,3,3,1,2025-09-01,West Bengal,,9
723157,5,1,0,2025-09-01,West Bengal,,9
723214,2,0,0,2025-09-01,West Bengal,,9
700024,0,0,1,2025-09-01,West Bengal,,9
700139,1,1,0,2025-09-01,West Bengal,,9
700140,3,2,0,2025-09-01,West Bengal,,9
700142,1,1,0,2025-09-01,West Bengal,,9
700145,5,4,0,2025-09-01,West Bengal,,9
743329,23,13,0,2025-09-01,West Bengal,,9
743337,10,4,0,2025-09-01,West Bengal,,9
743349,4,2,0,2025-09-01,West Bengal,,9
743373,14,0,0,2025-09-01,West Bengal,,9
743387,16,2,0,2025-09-01,West Bengal,,9
743392,0,1,0,2025-09-01,West Bengal,,9
743606,1,0,0,2025-09-01,West Bengal,,9
743609,4,1,0,2025-09-01,West Bengal,,9
733141,1,0,0,2025-09-01,West Bengal,Dakshin Dinajpur,9
733153,1,0,0,2025-09-01,West Bengal,Dakshin Dinajpur,9
700105,1,0,0,2025-09-01,West Bengal,South 24 Parganas,9
743383,1,0,0,2025-09-01,West Bengal,South 24 Parganas,9
743399,0,1,0,2025-09-01,West Bengal,South 24 Parganas,9
743503,7,2,0,2025-09-01,West Bengal,South 24 Parganas,9
733143,2,1,0,2025-09-01,West Bengal,Uttar Dinajpur,9
733156,11,3,0,2025-09-01,West Bengal,Uttar Dinajpur,9
733215,23,4,0,2025-09-01,West Bengal,Uttar Dinajpur,9
721145,0,2,0,2025-09-01,West Bengal,,9
721451,2,2,0,2025-09-01,West Bengal,,9
736203,1,0,0,2025-09-01,West Bengal,Alipurduar,9
722135,2,0,0,2025-09-01,West Bengal,Bankura,9
722137,0,2,0,2025-09-01,West Bengal,Bankura,9
722141,4,2,0,2025-09-01,West Bengal,Bankura,9
722142,4,0,0,2025-09-01,West Bengal,Bankura,9
722143,3,1,0,2025-09-01,West Bengal,Bankura,9
722144,7,4,0,2025-09-01,West Bengal,Bankura,9
722146,2,0,0,2025-09-01,West Bengal,Bankura,9
722149,3,1,0,2025-09-01,West Bengal,Bankura,9
722155,0,1,0,2025-09-01,West Bengal,Bankura,9
722175,0,1,0,2025-09-01,West Bengal,Bankura,9
712146,1,1,0,2025-09-01,West Bengal,,9
713122,1,1,0,2025-09-01,West Bengal,,9
713143,9,0,0,2025-09-01,West Bengal,,9
713146,7,4,0,2025-09-01,West Bengal,,9
713169,1,1,0,2025-09-01,West Bengal,,9
713173,1,0,0,2025-09-01,West Bengal,,9
713201,1,0,0,2025-09-01,West Bengal,,9
713203,4,0,0,2025-09-01,West Bengal,,9
713207,1,0,0,2025-09-01,West Bengal,,9
713213,2,0,0,2025-09-01,West Bengal,,9
713219,3,0,0,2025-09-01,West Bengal,,9
713304,1,0,0,2025-09-01,West Bengal,,9
713315,2,0,0,2025-09-01,West Bengal,,9
713321,3,0,0,2025-09-01,West Bengal,,9
713323,2,1,0,2025-09-01,West Bengal,,9
713339,1,2,0,2025-09-01,West Bengal,,9
713346,0,1,0,2025-09-01,West Bengal,,9
713358,2,1,0,2025-09-01,West Bengal,,9
713378,1,0,0,2025-09-01,West Bengal,,9
713403,7,1,0,2025-09-01,West Bengal,,9
713406,5,0,0,2025-09-01,West Bengal,,9
713409,4,1,0,2025-09-01,West Bengal,,9
713420,1,1,0,2025-09-01,West Bengal,,9
713502,2,1,0,2025-09-01,West Bengal,,9
713518,2,0,0,2025-09-01,West Bengal,,9
713323,1,0,0,2025-09-01,West Bengal,Purba Bardhaman,9
713325,0,2,0,2025-09-01,West Bengal,Purba Bardhaman,9
713359,1,1,0,2025-09-01,West Bengal,Purba Bardhaman,9
713513,1,1,0,2025-09-01,West Bengal,Purba Bardhaman,9
731104,1,0,0,2025-09-01,West Bengal,Birbhum,9
731121,1,0,0,2025-09-01,West Bengal,Birbhum,9
731133,1,1,0,2025-09-01,West Bengal,Birbhum,9
731214,34,1,0,2025-09-01,West Bengal,Birbhum,9
731233,2,0,0,2025-09-01,West Bengal,Birbhum,9
731234,12,2,0,2025-09-01,West Bengal,Birbhum,9
731237,6,4,0,2025-09-01,West Bengal,Birbhum,9
731301,0,1,0,2025-09-01,West Bengal,Birbhum,9
735211,2,1,0,2025-09-01,West Bengal,Cooch Behar,9
736121,2,0,0,2025-09-01,West Bengal,Cooch Behar,9
736134,11,3,0,2025-09-01,West Bengal,Cooch Behar,9
736156,6,5,0,2025-09-01,West Bengal,Cooch Behar,9
736157,2,1,0,2025-09-01,West Bengal,Cooch Behar,9
736175,1,0,0,2025-09-01,West Bengal,Cooch Behar,9
733125,6,2,0,2025-09-01,West Bengal,Dakshin Dinajpur,9
734003,3,4,2,2025-09-01,West Bengal,Darjeeling,9
734010,3,3,0,2025-09-01,West Bengal,Darjeeling,9
734011,1,0,0,2025-09-01,West Bengal,Darjeeling,9
734124,1,0,0,2025-09-01,West Bengal,Darjeeling,9
734313,1,0,0,2025-09-01,West Bengal,Darjeeling,9
734203,0,1,0,2025-09-01,West Bengal,Darjeeling,9
734434,2,1,0,2025-09-01,West Bengal,Darjeeling,9
721427,5,0,0,2025-09-01,West Bengal,,9
721442,1,0,0,2025-09-01,West Bengal,,9
721450,2,0,0,2025-09-01,West Bengal,,9
721628,1,0,0,2025-09-01,West Bengal,,9
721631,1,0,0,2025-09-01,West Bengal,,9
